run,accounts,provingTime,memoryUsage
0,8,1435,254
1,8,1407,254
2,8,1404,254
3,8,1368,254
4,8,1375,254
5,8,1354,254
6,8,1345,254
7,8,1336,254
8,8,1347,254
9,8,1338,254
10,8,1343,254
11,8,1344,254
12,8,1321,254
13,8,1320,254
14,8,1315,254
15,8,1371,254
16,8,1340,254
17,8,1323,254
18,8,1319,254
19,8,1317,254
20,8,1318,254
21,8,1326,254
22,8,1313,254
23,8,1310,254
24,8,1337,254
25,8,1317,254
26,8,1331,254
27,8,1322,254
28,8,1301,254
29,8,1312,254
30,8,1325,254
31,8,1314,254
32,8,1314,254
33,8,1323,254
34,8,1322,254
35,8,1310,254
36,8,1328,254
37,8,1317,254
38,8,1324,254
39,8,1323,254
40,8,1321,254
41,8,1319,254
42,8,1316,254
43,8,1305,254
44,8,1314,254
45,8,1303,254
46,8,1316,254
47,8,1327,254
48,8,1324,254
49,8,1317,254
