run,accounts,provingTime,memoryUsage
0,256,390,82
1,256,434,82
2,256,433,82
3,256,454,82
4,256,443,82
5,256,436,82
6,256,429,82
7,256,428,82
8,256,432,82
9,256,453,82
10,256,452,82
11,256,439,82
12,256,423,82
13,256,425,82
14,256,421,82
15,256,430,82
16,256,420,82
17,256,423,82
18,256,430,82
19,256,420,82
20,256,450,82
21,256,460,82
22,256,437,82
23,256,437,82
24,256,426,82
25,256,465,82
26,256,424,82
27,256,436,82
28,256,420,82
29,256,423,82
30,256,419,82
31,256,417,82
32,256,417,82
33,256,424,82
34,256,417,82
35,256,425,82
36,256,426,82
37,256,414,82
38,256,422,82
39,256,407,82
40,256,421,82
41,256,413,82
42,256,414,82
43,256,417,82
44,256,420,82
45,256,421,82
46,256,423,82
47,256,420,82
48,256,426,82
49,256,418,82
